Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
26,State,Odisha,Nayagarh,29,12,0,29,0,29,28,22,6,9,0,33,47,115,27,88,38,1,36,0,2,415,11,12,3,87,0,3,182,1092
27,State,Odisha,Nowrangpur,27,28,1,35,0,35,22,21,1,2,0,10,46,59,12,47,36,8,13,0,3,15,1,60,13,30,0,37,407,853
28,State,Odisha,Nuapada,17,5,1,17,0,17,12,10,2,3,0,18,22,47,9,38,12,2,16,0,5,152,1,53,3,14,0,27,273,700
29,State,Odisha,Puri,40,72,0,29,0,29,48,38,10,9,3,124,185,349,117,232,106,5,61,1,22,63,20,22,2,71,0,91,1433,2756
30,State,Odisha,Rayagada,22,16,2,36,0,36,16,16,0,5,1,22,27,75,5,70,39,9,17,2,6,18,3,55,2,35,0,1,342,751
31,State,Odisha,Rourkela,65,46,1,38,0,38,23,20,3,32,4,69,126,273,114,159,43,12,34,1,7,66,5,83,4,58,0,178,638,1806
32,State,Odisha,Sambalpur,43,48,0,35,0,35,16,12,4,21,9,87,147,298,92,206,85,6,37,0,12,283,0,38,6,28,0,148,912,2259
33,State,Odisha,Sonepur,17,15,0,17,0,17,17,3,14,3,0,10,22,38,9,29,36,0,10,1,3,79,3,46,1,15,0,30,141,504
34,State,Odisha,SRP (Cuttack),1,2,0,2,0,2,3,3,0,1,1,10,11,401,99,302,3,2,6,0,0,56,1,7,0,0,0,0,57,564
35,State,Odisha,SRP (Rourkela),8,1,0,1,0,1,4,2,2,3,2,14,18,209,26,183,3,0,5,0,0,3,0,8,0,2,0,4,139,424
36,State,Odisha,Sundargarh,30,47,1,20,0,20,15,13,2,16,2,40,65,134,29,105,24,6,12,2,12,313,4,41,5,11,0,161,235,1196
Total,Total,Total,Total,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,55740
1,State,Punjab,Amritsar,54,64,3,15,0,15,46,37,9,1,16,12,108,430,223,207,0,18,261,8,3,230,7,15,6,85,0,132,643,2157
2,State,Punjab,Amritsar Rural,31,27,0,14,0,14,18,14,4,0,2,4,44,74,23,51,0,7,94,0,3,124,4,6,0,26,0,70,190,738
3,State,Punjab,Barnala,23,24,3,13,0,13,7,5,2,0,1,1,54,86,26,60,0,3,38,3,1,114,1,6,0,7,0,70,182,637
4,State,Punjab,Batala,25,20,6,21,0,21,12,10,2,2,2,2,79,149,41,108,0,3,81,0,3,193,4,11,0,40,0,68,140,861
5,State,Punjab,Bhatinda,52,74,9,32,0,32,36,29,7,1,7,9,198,402,251,151,0,22,263,1,9,288,5,16,1,43,0,6,713,2187
6,State,Punjab,Faridkot,24,25,3,17,0,17,7,6,1,0,0,2,56,98,42,56,0,6,65,0,3,195,3,9,0,21,0,0,248,782
7,State,Punjab,Fatehgarh Sahib,18,13,3,7,0,7,11,4,7,1,4,2,51,153,73,80,0,11,127,1,0,161,3,8,3,21,0,159,222,979
8,State,Punjab,Ferozpur,67,55,5,43,0,43,39,31,8,1,6,5,120,282,165,117,0,18,130,9,12,429,6,13,0,32,0,150,483,1905
9,State,Punjab,G.R.P,9,4,1,1,0,1,0,0,0,0,0,2,0,59,12,47,0,1,13,0,0,17,2,0,0,0,0,0,359,468
10,State,Punjab,Gurdaspur,31,32,30,14,0,14,32,26,6,0,1,0,56,125,77,48,0,11,45,0,3,126,2,12,0,40,0,145,372,1077
11,State,Punjab,Hoshiarpur,39,59,7,37,0,37,31,24,7,3,4,8,133,187,54,133,2,10,117,0,12,391,9,12,1,57,0,227,360,1706
12,State,Punjab,Jalandhar Rural,58,133,9,35,0,35,96,71,25,5,5,33,326,738,329,409,0,13,326,5,21,570,13,61,0,140,0,258,954,3799
13,State,Punjab,Kapurthala,25,47,6,21,0,21,20,14,6,1,4,5,90,189,53,136,6,2,93,2,1,250,3,5,0,23,0,107,268,1168
14,State,Punjab,Khanna,24,22,3,10,0,10,13,5,8,2,4,8,53,93,46,47,0,0,67,0,0,134,3,7,0,35,0,172,332,982
15,State,Punjab,Ludhiana,68,101,13,39,0,39,95,70,25,3,10,16,189,635,327,308,0,24,296,3,6,272,10,31,9,92,0,237,973,3122
16,State,Punjab,Ludhiana Rural,24,21,1,13,0,13,26,20,6,1,6,4,55,145,46,99,0,8,47,4,0,160,4,3,0,37,0,101,331,991
17,State,Punjab,Mansa,37,27,4,13,0,13,14,9,5,1,3,1,36,61,20,41,0,4,68,0,3,204,8,13,1,11,0,0,290,799
18,State,Punjab,Moga,30,38,5,18,0,18,19,12,7,0,1,5,101,152,48,104,0,20,85,0,0,281,2,19,1,24,0,97,303,1201
19,State,Punjab,Muktsar,29,32,1,20,0,20,11,8,3,0,1,2,77,150,63,87,0,1,53,2,0,151,2,2,0,14,0,64,205,817
20,State,Punjab,Patiala,45,61,5,28,0,28,56,46,10,0,5,9,177,394,217,177,0,24,300,2,12,347,12,20,0,152,0,344,947,2940
21,State,Punjab,Ropar,22,16,2,13,0,13,16,14,2,0,3,3,72,124,45,79,0,1,67,3,3,90,3,9,3,20,0,135,279,884
22,State,Punjab,Sangrur,34,46,3,25,0,25,26,12,14,4,0,8,135,255,123,132,0,11,124,0,2,236,9,6,2,60,0,174,609,1769
23,State,Punjab,Sas Ngr,25,26,2,23,0,23,37,27,10,8,4,3,176,493,356,137,0,7,132,0,0,144,6,15,5,32,0,402,312,1852
24,State,Punjab,SBS Nagar,23,14,1,12,0,12,6,6,0,1,4,23,66,88,30,58,0,4,98,5,4,224,2,4,0,43,0,86,153,861
25,State,Punjab,Tarn Taran,36,33,4,27,0,27,18,13,5,3,3,4,55,62,23,39,0,5,108,15,0,167,3,16,1,6,0,85,212,863
Total,Total,Total,Total,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545
1,State,Rajasthan,Ajmer,42,44,12,47,0,47,93,69,24,0,2,25,209,694,381,313,23,20,662,1,7,188,17,64,1,546,0,481,3097,6275
2,State,Rajasthan,Alwar,103,77,0,101,0,101,184,128,56,2,5,50,256,1611,920,691,20,18,886,0,18,2628,35,139,0,516,0,475,2968,10092
3,State,Rajasthan,Banswara,33,12,0,40,0,40,53,49,4,0,0,11,47,114,50,64,59,8,100,5,22,674,3,43,0,143,0,121,798,2286
4,State,Rajasthan,Baran,36,86,1,55,0,55,85,84,1,2,2,8,94,261,92,169,12,11,240,2,13,378,9,130,1,289,0,127,1534,3376
5,State,Rajasthan,Barmer,21,29,0,31,0,31,29,29,0,0,0,6,89,224,66,158,8,8,288,1,28,519,14,96,0,150,0,176,1393,3110
6,State,Rajasthan,Bharatpur,71,78,2,82,0,82,188,131,57,3,3,14,79,1132,580,552,4,20,633,1,21,457,35,39,0,437,0,264,4831,8394
7,State,Rajasthan,Bhilwara,36,42,6,52,0,52,109,87,22,3,1,37,264,761,446,315,58,38,456,0,14,92,7,97,0,518,0,318,2576,5485
8,State,Rajasthan,Bikaner,41,77,1,37,0,37,38,36,2,0,0,4,114,301,88,213,0,5,353,1,21,429,11,83,0,353,0,268,1746,3883
9,State,Rajasthan,Bundi,24,86,7,37,0,37,115,93,22,3,0,16,115,249,113,136,29,6,208,0,15,916,5,138,0,270,0,155,1271,3665
10,State,Rajasthan,Chittorgarh,43,26,4,44,0,44,96,70,26,2,1,23,157,479,255,224,49,34,309,1,24,1229,7,82,0,463,0,238,1443,4754
11,State,Rajasthan,Churu,32,26,1,33,0,33,45,22,23,0,0,3,103,196,52,144,1,5,424,3,15,512,11,19,0,296,0,186,1254,3165
12,State,Rajasthan,Dausa,29,30,0,13,0,13,92,62,30,0,0,26,93,869,583,286,14,12,261,0,13,159,14,19,0,144,0,242,3062,5092
13,State,Rajasthan,Dholpur,48,87,1,30,0,30,67,52,15,2,5,23,62,519,218,301,8,6,193,0,8,1599,32,19,0,180,0,88,1197,4174
14,State,Rajasthan,Dungarpur,29,15,1,29,0,29,43,36,7,1,0,9,47,72,26,46,54,18,38,2,17,132,11,47,0,97,0,110,1123,1895
15,State,Rajasthan,G.R.P.,9,5,0,1,0,1,2,1,1,2,1,2,0,543,38,505,2,1,4,2,0,0,2,9,0,0,0,4,339,928
16,State,Rajasthan,Ganganagar,67,66,3,89,0,89,63,56,7,0,0,17,181,292,101,191,0,23,816,7,4,955,13,61,1,646,0,177,2076,5557
17,State,Rajasthan,Hanumangarh,48,72,1,54,0,54,49,43,6,0,0,6,77,204,66,138,0,19,578,1,5,446,16,60,0,266,0,145,1674,3721
18,State,Rajasthan,Jaipur East,21,30,3,29,0,29,66,55,11,2,6,106,449,2612,2085,527,88,40,732,3,5,4,6,53,0,179,0,179,2149,6762
19,State,Rajasthan,Jaipur North,17,35,0,23,0,23,76,72,4,1,0,44,122,866,535,331,29,44,629,2,0,455,9,31,0,202,0,136,1184,3905
20,State,Rajasthan,Jaipur Rural,76,25,0,49,0,49,99,85,14,7,3,34,316,1196,615,581,58,30,850,2,26,629,14,94,3,256,0,712,4573,9052
21,State,Rajasthan,Jaipur South,14,27,1,17,0,17,73,62,11,0,2,86,340,1835,1244,591,52,211,1166,5,8,288,5,18,0,192,0,167,1614,6121
22,State,Rajasthan,Jaisalmer,8,3,1,5,0,5,13,9,4,0,0,5,68,110,33,77,4,4,54,0,8,169,5,18,0,23,0,51,488,1037
23,State,Rajasthan,Jalore,21,14,1,19,0,19,34,26,8,1,0,8,90,195,80,115,20,20,174,2,18,39,9,39,0,142,0,131,1707,2684
24,State,Rajasthan,Jhalawar,47,50,7,55,0,55,58,45,13,3,3,23,110,499,248,251,59,19,189,0,34,995,7,215,3,379,0,154,1436,4345
25,State,Rajasthan,Jhunjhunu,40,21,0,41,0,41,60,50,10,0,3,16,118,398,105,293,44,12,441,0,18,1337,13,39,0,280,0,190,1166,4237
26,State,Rajasthan,Jodhpur City,17,56,2,15,0,15,68,55,13,3,0,33,202,788,608,180,6,21,590,5,8,474,9,40,1,242,0,130,995,3705
27,State,Rajasthan,Jodhpur Rural,23,32,0,27,0,27,40,29,11,3,0,12,117,220,63,157,3,11,199,1,19,933,19,43,0,97,0,243,864,2906
28,State,Rajasthan,Karauli,33,38,0,46,0,46,84,49,35,0,1,16,22,522,265,257,6,18,214,0,20,7,14,25,0,138,0,99,2809,4112
29,State,Rajasthan,Kota City,26,126,4,23,0,23,87,76,11,2,13,59,133,974,700,274,2,16,431,1,5,106,7,51,0,376,0,122,1681,4245
30,State,Rajasthan,Kota Rural,24,57,2,29,0,29,39,32,7,1,2,21,64,176,85,91,22,9,147,0,10,204,4,99,3,230,0,106,1105,2354
31,State,Rajasthan,Nagaur,42,44,4,53,0,53,89,76,13,0,0,14,135,363,125,238,0,13,396,5,13,85,6,117,0,302,0,243,2307,4231
32,State,Rajasthan,Pali,48,37,3,48,0,48,101,92,9,0,0,11,168,313,113,200,2,28,410,3,10,47,8,77,4,403,0,326,3208,5255
33,State,Rajasthan,Pratapgarh,27,24,0,54,0,54,63,59,4,0,0,2,53,96,27,69,47,2,70,0,10,418,2,50,0,180,0,68,552,1718
34,State,Rajasthan,Rajsamand,15,10,1,11,0,11,47,42,5,1,0,11,87,175,76,99,59,8,145,0,13,663,3,46,2,205,0,148,807,2457
35,State,Rajasthan,Sawai Madhopur,14,29,0,17,0,17,83,66,17,0,0,4,83,545,381,164,6,10,168,0,11,1,10,18,0,171,0,96,2140,3406
36,State,Rajasthan,Sikar,55,28,3,36,0,36,84,59,25,2,3,11,123,492,190,302,37,19,552,0,20,380,21,18,0,323,0,337,2594,5138
37,State,Rajasthan,Sirohi,27,29,2,18,0,18,28,25,3,1,0,9,112,143,46,97,27,13,155,0,15,465,4,64,1,132,0,149,639,2033
38,State,Rajasthan,Tonk,16,29,0,20,0,20,47,42,5,1,0,9,122,333,141,192,54,11,255,0,7,1027,4,26,0,252,0,177,1153,3543
39,State,Rajasthan,Udaipur,72,71,6,109,0,109,180,156,24,5,1,72,273,772,316,456,179,31,621,3,33,1613,15,159,4,353,0,359,2536,7467
Total,Total,Total,Total,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565
1,State,Sikkim,East,7,4,2,5,0,5,2,2,0,0,0,2,52,24,4,20,18,0,9,1,3,35,0,4,0,4,0,30,87,289
2,State,Sikkim,North,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,0,0,0,2,11,0,0,0,0,0,5,10,38
3,State,Sikkim,South,5,3,1,8,0,8,2,2,0,0,0,2,34,29,3,26,13,0,3,1,2,30,0,5,0,1,0,12,83,234
4,State,Sikkim,West,5,0,0,5,0,5,2,2,0,0,0,0,5,8,0,8,3,4,0,0,2,15,0,1,0,1,0,12,45,108
Total,Total,Total,Total,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,669
1,State,Tamilnadu,Ariyalur,40,22,0,21,0,21,19,15,4,3,0,8,30,92,53,39,39,1,10,0,3,193,3,39,1,7,0,127,1397,2055
2,State,Tamilnadu,Chennai,96,175,0,39,0,39,42,37,5,7,0,84,398,1716,341,1375,70,46,350,42,2,735,19,42,10,154,0,602,6276,10905
3,State,Tamilnadu,Chennai Rly.,1,2,0,0,0,0,0,0,0,0,0,29,3,192,4,188,11,3,5,0,0,20,2,5,1,0,0,4,212,490
4,State,Tamilnadu,Chennaisuburban,72,118,0,46,0,46,28,18,10,6,2,72,301,839,181,658,80,4,222,9,5,640,20,51,65,59,0,692,3946,7277
5,State,Tamilnadu,Coimbatore Rural,48,39,0,7,0,7,31,24,7,8,0,52,163,508,205,303,134,8,60,2,13,428,4,41,12,56,0,583,2470,4667
6,State,Tamilnadu,Coimbatore Urban,24,26,0,9,0,9,23,9,14,2,0,26,197,1165,608,557,17,12,103,35,3,324,4,21,3,48,0,279,1997,4318
7,State,Tamilnadu,Cuddalore,46,92,0,20,0,20,34,34,0,0,0,13,98,465,164,301,106,0,7,13,5,605,13,32,0,39,0,454,4580,6622
8,State,Tamilnadu,Dharmapuri,39,30,8,7,0,7,36,30,6,0,0,7,34,170,73,97,119,1,39,8,34,971,6,56,5,34,0,280,1991,3875
9,State,Tamilnadu,Dindigul,69,77,0,10,0,10,61,61,0,3,0,38,71,360,46,314,82,12,83,4,24,454,1,34,1,87,0,478,2920,4869
10,State,Tamilnadu,Erode,52,30,0,16,0,16,44,37,7,6,1,26,135,467,174,293,29,8,70,31,15,516,1,31,9,12,0,508,3663,5670
11,State,Tamilnadu,Kanchipuram,72,54,0,28,0,28,11,11,0,1,0,7,104,339,113,226,107,0,28,22,3,442,10,12,0,22,0,724,3629,5615
12,State,Tamilnadu,Kanyakumari,40,75,0,11,0,11,31,31,0,2,0,113,184,402,109,293,0,8,134,14,29,720,9,23,45,65,0,249,2714,4868
13,State,Tamilnadu,Karur,26,15,1,7,0,7,13,10,3,1,0,7,24,232,89,143,16,7,9,6,2,151,2,13,7,14,0,236,1569,2358
14,State,Tamilnadu,Krishnagiri,67,27,1,15,0,15,36,31,5,3,10,17,75,237,127,110,115,2,35,1,15,481,1,31,3,24,0,410,2908,4514
15,State,Tamilnadu,Madurai Rural,68,82,1,18,0,18,49,39,10,2,0,77,119,341,82,259,179,4,134,1,16,606,9,75,17,82,0,451,2821,5152
16,State,Tamilnadu,Madurai Urban,38,40,0,3,0,3,25,10,15,6,1,34,85,530,174,356,22,8,143,23,16,124,4,7,19,67,0,125,1680,3000
17,State,Tamilnadu,Nagapattinam,55,54,1,7,0,7,39,36,3,2,1,25,65,263,76,187,28,5,15,1,17,365,5,31,7,25,0,226,2739,3976
18,State,Tamilnadu,Namakkal,32,32,1,14,0,14,44,28,16,5,3,16,65,325,183,142,56,6,48,7,16,604,1,39,17,16,0,406,2657,4410
19,State,Tamilnadu,Nilgiris,15,8,0,3,0,3,7,5,2,0,0,5,37,74,12,62,16,2,12,2,0,179,0,11,0,4,0,51,670,1096
20,State,Tamilnadu,Perambalur,12,15,0,11,0,11,13,11,2,0,0,3,16,84,18,66,20,0,22,0,6,90,4,14,3,2,0,137,1068,1520
21,State,Tamilnadu,Pudukottai,40,38,0,5,0,5,27,22,5,0,0,5,56,155,49,106,38,12,17,2,17,253,4,21,1,18,0,282,2057,3048
22,State,Tamilnadu,Ramnathapuram,31,97,2,10,0,10,56,52,4,2,0,20,92,216,39,177,53,0,60,12,25,436,1,22,2,23,0,188,2053,3401
23,State,Tamilnadu,Salem Rural,48,68,1,32,0,32,91,81,10,2,0,20,73,215,63,152,194,0,33,3,29,1458,3,90,0,50,0,445,2926,5781
24,State,Tamilnadu,Salem Urban,21,26,0,20,0,20,39,19,20,0,0,28,48,323,154,169,39,13,50,4,2,281,3,13,7,40,0,115,1332,2404
25,State,Tamilnadu,Sivagangai,34,32,0,5,0,5,30,23,7,5,0,8,62,232,34,198,21,5,50,5,11,193,1,11,9,30,0,212,1578,2534
26,State,Tamilnadu,Thanjavur,69,80,1,5,0,5,36,36,0,4,13,64,223,844,359,485,72,3,42,12,28,797,8,60,3,17,0,388,4639,7408
27,State,Tamilnadu,Theni,34,69,0,9,0,9,49,40,9,0,0,29,98,215,51,164,72,1,118,1,22,589,7,50,29,66,0,222,3534,5214
28,State,Tamilnadu,Thirunelveli Rural,95,207,2,44,0,44,66,55,11,4,0,94,227,520,82,438,2,3,63,3,72,1017,5,91,0,65,0,341,4819,7740
29,State,Tamilnadu,Thirunelveli Urban,12,67,1,5,0,5,26,24,2,0,0,14,49,306,102,204,6,1,37,0,6,128,1,7,0,6,0,76,1063,1811
30,State,Tamilnadu,Thiruvallur,34,48,1,12,0,12,20,19,1,1,0,8,68,150,24,126,64,3,47,3,1,299,6,15,0,26,0,302,2959,4067
31,State,Tamilnadu,Thiruvannamalai,45,83,0,12,0,12,21,19,2,0,0,5,76,190,42,148,146,1,56,2,26,539,3,18,0,29,0,401,2414,4067
32,State,Tamilnadu,Thiruvarur,25,43,0,1,0,1,16,15,1,0,0,9,62,132,49,83,38,1,20,4,19,358,0,21,0,8,0,155,2268,3180
33,State,Tamilnadu,Thoothugudi,57,163,0,20,0,20,35,30,5,2,0,31,189,525,103,422,5,9,96,4,25,546,3,3,0,35,0,291,3397,5436
34,State,Tamilnadu,Tiruppur,58,29,0,12,0,12,61,42,19,6,2,68,239,905,305,600,76,9,79,2,7,515,3,46,8,46,0,762,2275,5208
35,State,Tamilnadu,Trichy Rly.,0,0,0,0,0,0,0,0,0,0,0,9,0,86,1,85,4,1,1,0,0,17,0,2,0,0,0,2,48,170
36,State,Tamilnadu,Trichy Rural,41,45,0,10,0,10,17,16,1,3,0,3,37,186,76,110,25,0,20,1,14,178,6,24,0,27,0,393,2881,3911
37,State,Tamilnadu,Trichy Urban,16,23,1,6,0,6,20,16,4,1,1,7,54,506,147,359,16,0,57,24,2,86,0,11,98,24,0,128,2512,3593
38,State,Tamilnadu,Vellore,81,44,2,18,0,18,46,40,6,3,0,14,111,448,184,264,11,3,25,41,13,560,10,21,1,31,0,741,4638,6862
39,State,Tamilnadu,Villupuram,70,98,2,62,0,62,80,66,14,6,0,22,109,398,213,185,223,3,45,1,22,692,8,78,31,33,0,811,4377,7171
40,State,Tamilnadu,Virudhunagar,53,52,0,16,0,16,50,41,9,1,0,27,144,359,64,295,46,10,112,7,15,557,4,30,87,69,0,251,2538,4428
Total,Total,Total,Total,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691
1,State,Tripura,Dhalai,20,4,0,18,0,18,9,4,5,0,0,2,21,39,2,37,11,7,4,2,5,92,1,16,0,47,0,18,104,420
2,State,Tripura,North,33,16,1,48,0,48,32,23,9,2,0,13,44,90,2,88,24,15,13,10,6,211,6,78,0,174,0,39,161,1016
3,State,Tripura,South,19,20,0,48,0,48,27,21,6,0,0,29,64,100,9,91,63,8,40,4,15,250,8,153,1,192,0,49,399,1489
4,State,Tripura,West,61,19,1,76,0,76,53,44,9,5,0,33,102,186,26,160,80,22,53,4,36,494,14,137,4,402,0,119,660,2561
Total,Total,Total,Total,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486
1,State,Uttara Pradesh,Agra,127,156,47,40,0,40,243,185,58,15,0,82,181,1770,1312,458,224,144,320,39,4,447,83,97,85,381,0,417,1802,6704
2,State,Uttara Pradesh,Aligarh,143,222,28,58,0,58,244,214,30,14,11,129,234,1116,517,599,288,140,309,6,20,307,54,109,48,294,0,323,1636,5733
3,State,Uttara Pradesh,Allahabad,110,105,28,38,0,38,148,126,22,6,0,51,242,773,444,329,146,111,265,26,4,406,70,59,51,289,0,365,1882,5175
4,State,Uttara Pradesh,Ambedkar Nagar,36,28,15,19,0,19,56,49,7,0,0,14,22,113,54,59,24,11,99,0,0,129,15,9,19,102,0,79,266,1056
5,State,Uttara Pradesh,Auraiya,41,31,12,11,0,11,44,35,9,1,0,14,22,95,57,38,15,14,14,1,0,82,26,20,16,30,0,145,374,1008
6,State,Uttara Pradesh,Azamgarh,65,33,37,17,0,17,71,64,7,0,0,24,70,176,91,85,66,31,70,3,2,274,31,26,31,83,0,222,420,1752
7,State,Uttara Pradesh,Badaun,110,140,28,29,0,29,96,67,29,7,0,32,44,178,56,122,36,25,80,0,4,290,43,28,18,55,0,23,1282,2548
8,State,Uttara Pradesh,Baghpat,76,56,14,15,0,15,53,45,8,3,0,36,27,172,94,78,60,23,53,0,0,103,16,6,20,72,0,36,597,1438
9,State,Uttara Pradesh,Bahraich,38,28,28,38,0,38,89,86,3,25,0,38,76,150,47,103,60,52,179,5,12,202,32,33,27,72,0,92,603,1879
10,State,Uttara Pradesh,Ballia,23,36,18,9,0,9,28,25,3,0,0,7,70,121,62,59,40,22,63,2,2,138,31,19,9,53,0,169,68,928
11,State,Uttara Pradesh,Balrampur,15,13,6,8,0,8,23,23,0,0,0,4,15,50,28,22,8,13,25,0,2,35,10,11,6,34,0,27,110,415
12,State,Uttara Pradesh,Banda,23,22,16,23,0,23,41,32,9,0,0,8,52,124,28,96,21,21,63,1,14,63,24,42,11,44,0,5,816,1434
13,State,Uttara Pradesh,Barabanki,48,49,16,19,0,19,107,106,1,1,0,26,108,231,50,181,11,101,54,1,3,247,39,34,50,104,0,174,1439,2862
14,State,Uttara Pradesh,Bareilly,136,175,23,77,0,77,168,153,15,8,1,57,129,627,308,319,113,112,197,10,2,191,47,125,96,303,0,333,1798,4728
15,State,Uttara Pradesh,Basti,24,6,5,12,0,12,22,22,0,0,0,9,36,76,37,39,24,24,30,1,2,107,15,3,0,12,0,125,374,907
16,State,Uttara Pradesh,Bijnor,79,40,11,30,0,30,87,75,12,1,0,21,43,214,65,149,42,51,203,1,11,502,22,46,44,225,0,188,786,2647
17,State,Uttara Pradesh,Bulandshahar,118,130,29,38,0,38,102,81,21,2,0,51,66,314,150,164,51,32,122,3,2,18,53,36,24,184,0,274,946,2595
18,State,Uttara Pradesh,Chandoli,25,18,9,3,0,3,23,18,5,0,0,10,32,90,40,50,1,33,43,1,0,129,13,4,4,88,0,85,203,814
19,State,Uttara Pradesh,Chitrakoot Dham,21,6,4,20,0,20,14,10,4,4,0,7,31,38,8,30,3,9,19,0,0,11,9,22,1,12,0,66,163,460
20,State,Uttara Pradesh,Deoria,19,20,17,9,0,9,44,38,6,1,0,6,47,87,49,38,48,16,37,4,4,117,30,15,12,32,0,114,388,1067
21,State,Uttara Pradesh,Etah,64,96,18,18,0,18,54,45,9,1,0,27,41,282,135,147,55,19,147,7,13,240,42,37,13,92,0,183,629,2078
22,State,Uttara Pradesh,Etawah,45,53,11,5,0,5,75,62,13,3,0,24,46,262,171,91,6,43,90,6,4,172,35,42,39,112,0,182,1217,2472
23,State,Uttara Pradesh,Faizabad,30,18,12,22,0,22,74,69,5,1,0,17,68,226,84,142,35,52,103,3,10,206,18,27,21,38,0,175,631,1787
24,State,Uttara Pradesh,Fatehgarh,62,59,26,17,0,17,69,61,8,0,0,8,48,136,72,64,27,11,35,4,3,104,23,30,16,61,0,129,399,1267
25,State,Uttara Pradesh,Fatehpur,70,28,23,28,0,28,53,44,9,11,0,23,43,111,50,61,13,45,60,4,0,188,38,39,13,51,0,219,561,1621
26,State,Uttara Pradesh,Firozabad,117,106,14,26,0,26,142,95,47,14,0,49,47,417,256,161,88,82,116,1,10,241,47,59,35,130,0,6,1304,3051
27,State,Uttara Pradesh,G.R.P.,18,13,4,1,0,1,3,0,3,5,1,33,0,1267,63,1204,13,21,19,6,0,6,1,10,57,0,0,0,770,2248
28,State,Uttara Pradesh,Gautambudh Nagar,78,95,19,24,0,24,83,60,23,7,0,91,138,2298,1514,784,83,77,214,3,2,29,22,40,46,103,0,320,935,4707
29,State,Uttara Pradesh,Ghaziabad,254,277,31,53,0,53,491,321,170,53,11,195,394,4377,3378,999,349,256,535,14,7,53,66,88,182,556,0,456,3123,11821
30,State,Uttara Pradesh,Ghazipur,37,35,22,3,0,3,21,16,5,9,0,49,35,115,46,69,100,19,53,5,4,102,29,12,22,63,0,51,174,960
31,State,Uttara Pradesh,Gonda,59,37,30,29,0,29,88,74,14,21,0,25,62,151,60,91,46,42,175,1,2,329,42,28,12,3,0,135,429,1746
32,State,Uttara Pradesh,Gorakhpur,79,56,37,43,0,43,107,94,13,3,1,39,137,862,648,214,157,92,265,7,3,338,50,44,47,255,0,247,1037,3906
33,State,Uttara Pradesh,Hamirpur,30,6,17,16,0,16,18,18,0,2,0,1,14,40,8,32,5,29,35,0,5,14,20,21,9,22,0,52,116,472
34,State,Uttara Pradesh,Hardoi,76,55,36,29,0,29,91,87,4,3,1,18,52,231,58,173,34,36,85,1,5,282,45,61,13,73,0,236,1236,2699
35,State,Uttara Pradesh,Hathras,53,48,11,22,0,22,73,52,21,24,0,50,32,174,55,119,38,50,61,2,1,142,23,33,8,146,0,147,525,1663
36,State,Uttara Pradesh,J.P.nagar,47,44,9,26,0,26,43,36,7,1,1,21,34,146,63,83,35,18,87,2,0,37,16,21,39,69,0,69,382,1147
37,State,Uttara Pradesh,Jalaun,37,13,12,11,0,11,33,27,6,2,2,6,21,86,48,38,14,28,51,3,2,3,34,41,15,43,0,121,538,1116
