Sl.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
8,Uttar Pradesh,Badaun,221,259,36,38,96,49,47,29,0,73,148,328,9,319,83,53,70,0,36,235,67,49,44,70,0,1139,3074
9,Uttar Pradesh,Bageshwar,7,1,6,3,5,5,0,1,0,3,10,24,0,24,1,0,2,0,1,20,6,1,4,1,0,44,140
10,Uttar Pradesh,Baghpat,146,128,7,20,39,21,18,14,0,54,40,188,26,162,82,17,42,3,2,3,15,36,24,52,0,573,1485
11,Uttar Pradesh,Bahraich,57,59,13,16,40,26,14,1,3,23,94,215,24,191,48,21,30,2,12,196,21,37,57,43,0,419,1407
12,Uttar Pradesh,Ballia,65,85,19,11,15,5,10,4,0,17,141,176,9,167,137,23,36,0,48,240,19,13,38,26,0,650,1763
13,Uttar Pradesh,Balrampur,44,43,8,14,24,20,4,5,0,11,78,122,10,112,69,23,42,2,15,141,7,26,25,41,0,297,1037
14,Uttar Pradesh,Banda,57,52,23,23,23,9,14,9,0,12,74,91,12,79,72,21,36,1,20,207,31,37,6,27,0,599,1421
15,Uttar Pradesh,Barabanki,77,84,14,48,64,56,8,29,1,54,176,258,15,243,68,63,31,0,13,268,47,50,24,117,0,813,2299
16,Uttar Pradesh,Bareily,290,310,15,66,163,114,49,43,1,176,247,930,133,797,154,105,149,1,15,229,49,87,65,297,0,1991,5383
17,Uttar Pradesh,Basti,38,44,20,8,33,31,2,1,0,10,71,130,17,113,60,36,24,2,5,225,12,25,71,37,0,532,1384
18,Uttar Pradesh,Bijnor,123,101,15,28,87,55,32,16,1,74,121,358,44,314,65,42,75,2,4,34,31,45,31,108,0,803,2164
19,Uttar Pradesh,Bulandshahr,222,234,20,46,97,66,31,28,1,131,159,508,85,423,182,83,76,1,15,50,49,60,107,195,0,1273,3537
20,Uttar Pradesh,Chamoli,15,7,1,1,4,4,0,0,0,3,21,18,0,18,17,4,4,0,2,13,1,12,2,2,0,49,176
21,Uttar Pradesh,Champawat,2,2,0,2,9,8,1,0,0,1,7,13,1,12,3,5,3,0,0,14,1,0,2,2,0,43,109
22,Uttar Pradesh,Chandoli,31,27,6,9,6,1,5,1,0,16,32,71,9,62,27,17,24,0,9,89,3,6,22,19,0,167,582
23,Uttar Pradesh,Chitrakoot Dham,32,11,6,7,7,3,4,0,0,3,15,41,3,38,13,2,18,0,1,84,9,9,3,5,0,128,394
24,Uttar Pradesh,Dehradun,27,51,6,3,40,30,10,5,0,31,133,298,75,223,75,49,101,3,5,83,7,10,55,76,0,583,1641
25,Uttar Pradesh,Deoria,55,119,20,11,36,26,10,12,0,19,170,223,26,197,242,22,40,0,10,258,28,17,29,42,0,1095,2448
26,Uttar Pradesh,Etah,209,319,19,30,102,26,76,33,0,79,144,237,55,182,156,37,52,0,2,347,59,26,7,67,0,888,2813
27,Uttar Pradesh,Etawah,98,103,11,11,76,21,55,5,1,29,63,190,23,167,86,51,43,1,8,264,24,20,21,31,0,860,1996
28,Uttar Pradesh,Faizabad,83,69,10,32,42,38,4,2,1,57,131,283,52,231,75,108,11,1,10,198,20,27,33,34,0,926,2153
29,Uttar Pradesh,Fathegarh,102,105,7,7,51,30,21,12,0,43,93,129,20,109,77,33,60,0,18,257,41,32,15,93,0,588,1763
30,Uttar Pradesh,Fatehpur,141,76,32,26,29,11,18,8,0,39,92,143,18,125,35,20,48,0,18,298,53,27,15,58,0,827,1985
31,Uttar Pradesh,Firozabad,149,127,15,12,79,40,39,20,3,58,103,236,81,155,123,57,57,0,5,302,48,24,71,84,0,765,2338
32,Uttar Pradesh,G.R.P.,31,20,9,3,9,5,4,19,4,68,4,2989,60,2929,18,31,52,1,2,6,2,6,46,0,0,1027,4347
33,Uttar Pradesh,Gautambudh Nagar,72,115,10,21,33,27,6,9,3,37,69,629,288,341,84,51,91,0,4,26,15,36,49,37,0,761,2152
34,Uttar Pradesh,Ghaziabad,247,386,17,30,129,73,56,20,1,150,259,1337,557,780,131,93,165,4,14,89,43,45,147,131,0,1699,5137
35,Uttar Pradesh,Ghazipur,50,65,18,6,14,10,4,0,3,21,79,103,18,85,74,7,22,0,6,127,19,17,19,19,0,312,981
36,Uttar Pradesh,Gonda,73,102,14,24,42,29,13,19,0,51,143,220,17,203,128,39,139,2,0,261,44,27,35,67,0,789,2219
37,Uttar Pradesh,Gorakhpur,95,84,24,16,41,29,12,9,1,52,155,247,57,190,122,48,92,6,11,238,16,28,33,32,0,1195,2545
38,Uttar Pradesh,Hamirpur,71,42,11,15,22,16,6,8,0,25,76,79,1,78,51,11,21,0,3,130,23,23,10,32,0,347,1000
39,Uttar Pradesh,Hardoi,174,166,29,56,84,56,28,17,3,43,94,273,15,258,88,36,44,3,18,496,63,110,11,88,0,1044,2940
40,Uttar Pradesh,Haridwar,76,55,5,21,55,28,27,7,0,60,78,273,93,180,90,36,42,8,0,18,15,25,21,81,0,602,1568
41,Uttar Pradesh,Hathras,83,92,9,16,44,29,15,26,1,72,81,205,18,187,131,40,47,0,12,210,23,49,14,94,0,623,1872
42,Uttar Pradesh,J.P.Nagar,89,76,10,15,41,26,15,8,0,33,58,174,20,154,68,9,39,0,6,45,14,27,18,80,0,752,1562
43,Uttar Pradesh,Jalaun,78,78,4,10,47,10,37,3,0,28,72,147,21,126,46,23,44,0,15,93,23,23,22,21,0,767,1544
44,Uttar Pradesh,Jaunpur,57,78,20,8,25,15,10,5,0,35,112,157,35,122,77,21,50,1,7,309,34,13,11,48,0,576,1644
45,Uttar Pradesh,Jhansi,76,45,11,14,36,9,27,7,0,36,106,216,79,137,58,44,66,0,12,76,37,24,44,45,0,849,1802
46,Uttar Pradesh,Kannauj,75,92,12,11,54,27,27,8,0,24,43,120,14,106,64,17,38,1,17,97,28,28,12,58,0,742,1541
47,Uttar Pradesh,Kanpur Dehat,83,67,11,18,48,31,17,14,1,41,61,184,8,176,71,23,20,0,10,250,31,41,21,50,0,476,1521
48,Uttar Pradesh,Kanpur Nagar,183,165,25,48,210,149,61,20,2,178,338,1195,501,694,224,233,282,23,18,497,70,77,260,319,0,2349,6716
49,Uttar Pradesh,Kaushambi,70,55,15,25,23,17,6,12,0,24,119,125,7,118,50,10,29,0,17,200,35,43,9,49,0,475,1385
50,Uttar Pradesh,khiri,139,134,31,63,80,63,17,15,6,76,130,350,44,306,102,39,68,1,5,490,69,62,23,109,0,905,2897
51,Uttar Pradesh,Kushi Nagar,56,60,16,10,20,17,3,4,0,24,102,97,9,88,80,15,9,4,12,326,17,22,36,13,0,373,1296
52,Uttar Pradesh,Lalitpur,25,17,2,17,9,8,1,2,0,7,34,52,9,43,25,15,19,0,10,30,6,21,10,24,0,389,714
53,Uttar Pradesh,Lucknow,199,159,37,47,170,149,21,24,3,124,654,2224,629,1595,302,234,593,5,14,92,47,76,155,309,0,3465,8933
54,Uttar Pradesh,Maharajganj,40,30,8,11,18,16,2,2,0,14,44,66,7,59,44,20,29,1,4,98,8,22,20,9,0,359,847
55,Uttar Pradesh,Mahoba,44,26,10,7,11,8,3,2,0,10,38,68,12,56,22,10,13,0,11,57,9,20,5,6,0,243,612
56,Uttar Pradesh,Mainpuri,149,153,10,11,53,24,29,30,1,51,81,167,22,145,128,44,72,2,30,275,54,23,10,51,0,714,2109
57,Uttar Pradesh,Mathura,118,161,17,26,55,29,26,19,1,97,94,363,128,235,140,93,104,0,12,117,28,36,51,84,0,1182,2798
58,Uttar Pradesh,Mau,41,63,10,10,26,20,6,7,0,38,102,121,10,111,122,22,47,3,15,127,7,26,21,45,0,541,1394
59,Uttar Pradesh,Meerut,308,296,10,47,115,81,34,41,1,220,273,1142,357,785,196,112,170,5,8,72,25,56,141,272,0,1686,5196
60,Uttar Pradesh,Mirzapur,48,70,13,13,22,15,7,10,0,7,52,151,11,140,51,20,25,1,4,129,25,12,24,27,0,357,1061
61,Uttar Pradesh,Moradabad,187,172,23,51,119,92,27,18,0,87,147,597,150,447,112,41,94,2,16,169,29,55,102,135,0,1223,3379
62,Uttar Pradesh,Muzaffaranagar,302,235,11,34,133,57,76,24,0,134,143,563,139,424,163,62,76,6,18,11,35,33,80,180,0,1320,3563
63,Uttar Pradesh,Nainital,42,53,5,5,15,12,3,4,1,29,76,192,39,153,50,28,28,2,0,70,8,9,4,15,0,323,959
64,Uttar Pradesh,Pauri Garhwal,28,22,1,4,12,10,2,1,0,13,52,45,11,34,23,4,24,0,1,18,9,8,3,3,0,85,356
65,Uttar Pradesh,Pilibhit,117,116,12,60,62,52,10,14,0,56,92,228,20,208,90,29,78,0,6,27,27,45,24,167,0,762,2012
66,Uttar Pradesh,Pathoragarh,7,6,0,6,6,5,1,0,0,2,25,18,1,17,8,11,9,0,2,15,3,28,16,4,0,144,310
67,Uttar Pradesh,Pratapgarh,74,141,16,25,52,40,12,7,1,40,185,142,14,128,151,28,39,0,27,397,27,27,35,48,0,1165,2627
68,Uttar Pradesh,Raibareilly,81,55,27,44,41,39,2,1,0,31,140,312,26,286,86,25,41,0,14,307,27,38,10,61,0,731,2072
69,Uttar Pradesh,Rampur,102,108,14,18,53,28,25,17,0,54,102,245,28,217,63,34,64,0,4,151,12,17,10,52,0,595,1715
70,Uttar Pradesh,Rudra Prayag,8,1,0,1,2,2,0,1,0,3,10,15,1,14,15,0,1,0,1,13,1,3,1,5,0,34,115
71,Uttar Pradesh,Saharanpur,121,113,10,30,65,36,29,12,1,78,140,418,106,312,77,49,73,1,5,57,34,27,79,94,0,957,2441
72,Uttar Pradesh,sant Kabirnagar,19,12,9,4,4,2,2,6,1,6,33,30,4,26,26,12,22,1,0,113,4,13,8,12,0,219,554
73,Uttar Pradesh,Sant Ravidasnagar,198,198,50,49,102,69,33,18,0,67,106,324,31,293,67,31,87,0,11,230,43,48,58,115,0,1058,2860
74,Uttar Pradesh,Shahjahanpur,20,34,7,12,18,13,5,5,0,14,61,96,1,95,32,5,26,0,6,103,8,17,5,12,0,184,665
75,Uttar Pradesh,Shrawasti,9,7,7,12,20,20,0,2,0,8,75,71,8,63,25,27,23,3,7,111,15,10,14,19,0,243,708
76,Uttar Pradesh,Sidharthnagar,126,115,44,83,104,53,51,8,0,75,272,683,29,654,124,74,96,0,18,270,85,77,41,82,0,1781,4158
77,Uttar Pradesh,Sitapur,24,16,16,5,9,6,3,2,0,8,46,73,14,59,16,3,14,0,1,86,7,6,5,7,0,138,482
78,Uttar Pradesh,Sonbhadra,24,28,7,0,9,4,5,3,0,13,46,85,30,55,34,6,15,1,4,62,16,4,3,19,0,191,570
79,Uttar Pradesh,Sultanpur,86,176,13,27,52,45,7,11,2,46,228,394,35,359,96,37,54,3,4,334,23,33,28,92,0,1147,2886
80,Uttar Pradesh,Tehri Garhwal,10,15,7,5,3,3,0,1,0,5,30,23,2,21,11,12,3,0,2,31,1,4,5,6,0,224,398
81,Uttar Pradesh,Udhamsingh Nagar,73,61,10,11,31,26,5,7,1,40,89,237,44,193,58,31,34,2,0,109,12,13,17,32,0,410,1278
82,Uttar Pradesh,Unnao,155,222,17,54,71,56,15,4,3,61,114,250,22,228,159,33,46,0,7,440,56,87,19,127,0,1270,3195
83,Uttar Pradesh,Uttarkashi,6,9,0,7,4,2,2,0,0,8,11,29,1,28,24,2,9,0,2,15,0,6,2,4,0,95,233
84,Uttar Pradesh,Varanasi,70,104,16,21,34,26,8,8,1,78,125,485,207,278,100,109,106,2,7,165,41,20,95,99,0,953,2639
85,Uttar Pradesh,Total,7755,8329,1176,1865,4233,2755,1478,920,62,4171,9569,27449,5602,21847,7682,3445,5207,125,863,14221,2222,2607,3160,6021,0,64586,175668
1,West Bengal,24 Parganas North,245,50,76,73,110,77,33,26,0,79,51,1895,557,1338,346,57,50,5,2,220,21,75,0,479,0,2594,6454
2,West Bengal,24 Parganas South,166,12,100,65,76,75,1,23,0,45,24,1535,300,1235,402,3,11,1,14,457,49,73,0,582,0,2757,6395
3,West Bengal,Bankura,55,37,13,19,9,9,0,22,2,28,5,256,10,246,110,0,23,0,4,38,17,31,0,72,0,505,1246
4,West Bengal,Birbhum,83,34,26,49,48,32,16,6,20,48,20,299,31,268,311,8,3,0,16,66,11,44,1,152,0,887,2132
5,West Bengal,Burdwan,157,13,50,39,67,53,14,27,37,61,30,997,81,916,272,5,55,10,18,118,34,96,3,344,0,2738,5171
6,West Bengal,Calcutta,49,138,13,35,105,71,34,27,52,151,110,4016,1034,2982,316,315,826,57,0,1279,15,152,46,196,0,5078,12976
7,West Bengal,Coochbehar,47,11,14,48,36,34,2,21,0,22,17,172,0,172,41,4,6,2,3,104,3,52,0,167,0,615,1385
8,West Bengal,Dakshin Dinajpur,41,0,21,27,32,31,1,3,19,15,0,184,8,176,40,1,1,4,0,29,4,48,0,110,0,631,1210
9,West Bengal,Darjeeling,63,0,27,23,15,15,0,3,5,23,8,412,78,334,44,0,0,0,0,211,1,29,1,53,0,637,1555
10,West Bengal,Hooghly,116,15,32,41,46,43,3,13,48,38,17,725,29,696,565,8,26,1,0,366,7,43,1,361,0,1164,3633
11,West Bengal,Howrah,56,17,24,17,25,13,12,5,66,27,10,615,127,488,111,36,70,1,5,272,22,30,0,123,0,1027,2559
12,West Bengal,Howrah G.R.P.,14,0,0,1,0,0,0,13,12,22,0,797,0,797,21,0,0,0,0,15,0,12,0,0,0,237,1144
13,West Bengal,Jalpaiguri,156,32,57,53,42,25,17,39,4,44,27,583,49,534,114,16,17,3,11,187,3,54,0,112,0,857,2411
14,West Bengal,Kolkata Airport,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,4,0,0,0,0,0,0,0,0,25,48
15,West Bengal,Malda,71,32,21,41,26,5,21,10,0,13,13,293,47,246,65,11,8,8,0,90,5,40,1,62,0,1106,1916
16,West Bengal,Midnapur,188,19,54,70,113,112,1,37,1,88,79,678,92,586,664,39,35,0,80,58,56,56,1,506,0,2409,5231
17,West Bengal,Murshidabad,129,27,61,68,59,53,6,19,2,36,5,437,17,420,113,4,6,8,0,75,4,64,0,199,0,1590,2906
18,West Bengal,Nadia,102,0,57,65,63,63,0,17,13,23,16,535,14,521,214,0,0,0,2,310,22,69,1,293,0,1660,3462
19,West Bengal,Purulia,78,0,11,33,6,5,1,17,10,20,12,378,3,375,94,5,26,0,5,0,4,59,0,121,0,616,1495
20,West Bengal,Sealdah G.R.P,20,7,2,1,4,2,2,5,12,11,0,360,0,360,11,0,6,0,0,10,0,2,0,0,0,49,500
21,West Bengal,Siliguri G.R.P,6,0,0,0,0,0,0,5,0,2,0,99,0,99,8,0,1,0,0,0,1,2,0,0,0,38,162
22,West Bengal,Uttar Dinajpur,50,59,24,46,44,31,13,15,3,21,10,339,21,318,37,22,13,3,11,85,5,26,0,93,0,937,1843
23,West Bengal,Total,1892,503,683,814,926,749,177,353,306,817,454,15624,2498,13126,3899,534,1187,103,171,3990,284,1057,55,4025,0,28157,65834
1,A & N Island,Andman,15,7,1,5,3,3,0,1,0,8,67,86,6,80,28,6,17,0,6,90,0,22,1,12,0,346,721
2,A & N Island,Nicobar,3,0,0,0,0,0,0,0,0,0,4,3,0,3,1,0,0,0,1,5,0,1,0,0,0,13,31
3,A & N Island,Total,18,7,1,5,3,3,0,1,0,8,71,89,6,83,29,6,17,0,7,95,0,23,1,12,0,359,752
1,Chandigarh,Chandigarh,19,20,5,23,67,52,15,1,0,10,239,1071,344,727,75,31,173,7,7,93,2,34,8,36,0,1014,2935
2,Chandigarh,Total,19,20,5,23,67,52,15,1,0,10,239,1071,344,727,75,31,173,7,7,93,2,34,8,36,0,1014,2935
1,D & N Haveli,D & N Haveli,10,4,0,3,13,7,6,1,0,2,52,72,6,66,28,11,6,0,3,27,0,4,1,2,0,201,440
2,D & N Haveli,Total,10,4,0,3,13,7,6,1,0,2,52,72,6,66,28,11,6,0,3,27,0,4,1,2,0,201,440
1,Daman & Diu,Daman,3,5,0,0,5,3,2,3,0,1,39,36,9,27,22,1,5,1,2,19,0,0,0,1,0,58,201
2,Daman & Diu,Diu,0,2,0,1,0,0,0,0,0,0,6,4,1,3,6,1,0,0,2,6,0,0,0,1,0,21,50
3,Daman & Diu,Total,3,7,0,1,5,3,2,3,0,1,45,40,10,30,28,2,5,1,4,25,0,0,0,2,0,79,251
1,Delhi,Central,21,36,2,33,60,36,24,5,1,37,140,1419,501,918,8,37,108,5,3,118,6,34,12,4,0,1563,3652
2,Delhi,East,58,61,7,18,169,136,33,9,7,78,324,1722,705,1017,15,32,100,1,8,266,15,64,17,12,0,1509,4492
3,Delhi,G.R.P. (Rly.),6,3,0,0,5,5,0,1,0,13,0,1509,16,1493,2,9,28,6,0,12,2,2,0,0,0,146,1744
4,Delhi,I.G.I.Airport,1,0,1,1,1,1,0,0,0,4,2,71,16,55,0,6,449,0,2,4,0,2,1,0,0,67,612
5,Delhi,New Delhi,6,8,0,9,28,14,14,0,1,23,77,1344,401,943,15,21,210,14,1,45,0,16,13,1,0,994,2826
6,Delhi,North,36,32,7,27,78,50,28,3,5,65,163,1378,444,934,18,80,166,5,4,175,8,38,6,4,0,1783,4081
7,Delhi,North East,87,102,4,46,167,119,48,1,8,101,260,1119,450,669,25,37,71,4,5,366,18,49,10,14,0,1462,3956
8,Delhi,North West,125,102,11,87,263,198,65,20,6,121,646,3054,1336,1718,27,57,135,3,14,430,28,79,9,12,0,4360,9589
9,Delhi,S.T.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32
10,Delhi,South,102,91,13,71,256,204,52,11,5,168,927,4856,2109,2747,51,106,322,6,14,322,18,104,29,30,0,3645,11147
11,Delhi,South West,66,46,1,71,137,105,32,13,0,68,427,2069,871,1198,38,27,125,2,7,154,14,89,16,16,0,2363,5749
12,Delhi,West,78,117,11,72,182,130,52,7,8,80,487,2541,1194,1347,11,64,194,3,6,366,16,72,10,13,0,4031,8369
13,Delhi,Total,586,598,57,435,1346,998,348,70,41,758,3453,21082,8043,13039,210,476,1940,49,64,2258,125,549,123,106,0,21923,56249
1,Lakshadeep,Lakshadeep,0,0,0,1,0,0,0,0,0,0,3,8,0,8,0,1,0,0,1,2,0,0,0,0,0,8,24
2,Lakshadeep,Total,0,0,0,1,0,0,0,0,0,0,3,8,0,8,0,1,0,0,1,2,0,0,0,0,0,8,24
1,Pondicherry,Pondicherry,26,18,4,5,10,8,2,1,0,4,74,396,192,204,61,11,17,5,12,554,3,33,27,3,0,2116,3380
2,Pondicherry,Total,26,18,4,5,10,8,2,1,0,4,74,396,192,204,61,11,17,5,12,554,3,33,27,3,0,2116,3380
1,Total (All- India),Total (All- India),37399,30743,3773,16496,22871,15023,7848,6825,1505,20926,105391,258588,58415,200173,80456,14581,41701,2299,10392,240580,6995,32940,11024,45778,64,779757,1771084
