Sl. No.,Category,STATE/UT,Population (In Lakhs)@,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) -I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) -P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives(Sec.498A IPC) - R,Cruelty by Husband and Relatives(Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) -I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,Sati Prevention Act - 1987 - I,Sati Prevention Act - 1987 - R,Sati Prevention Act - 1987 - P,"Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
46,City,Chennai,86.96,76,0.9,2.9,41,0.5,0.8,20,0.2,2.4,229,2.6,1.5,73,0.8,1.3,121,1.4,6.2,0,0,0,0,0,0,137,1.6,11.1,0,0,0,0,0,0,697,8,2.1
47,City,Coimbatore,21.51,9,0.4,0.3,10,0.5,0.2,2,0.1,0.2,83,3.9,0.5,32,1.5,0.6,5,0.2,0.3,0,0,0,0,0,0,50,2.3,4.1,0,0,0,0,0,0,191,8.9,0.6
48,City,Delhi (city),163.15,453,2.8,17.6,1681,10.3,31.8,115,0.7,14,1498,9.2,9.7,556,3.4,10.1,149,0.9,7.6,0,0,0,0,0,0,30,0.2,2.4,1,0,1.3,6,0,0.7,4489,27.5,13.3
49,City,Dhanbad,11.95,10,0.8,0.4,30,2.5,0.6,8,0.7,1,8,0.7,0.1,9,0.8,0.2,0,0,0,0,0,0,0,0,0,2,0.2,0.2,0,0,0,23,1.9,2.7,90,7.5,0.3
50,City,Durg-,10.64,61,5.7,2.4,58,5.5,1.1,0,0,0,96,9,0.6,147,13.8,2.7,35,3.3,1.8,0,0,0,0,0,0,3,0.3,0.2,0,0,0,1,0.1,0.1,401,37.7,1.2
51,City,Faridabad,14.05,54,3.8,2.1,82,5.8,1.6,10,0.7,1.2,218,15.5,1.4,31,2.2,0.6,59,4.2,3,0,0,0,0,0,0,5,0.4,0.4,0,0,0,4,0.3,0.5,463,33,1.4
52,City,Ghaziabad,23.59,5,0.2,0.2,103,4.4,1.9,22,0.9,2.7,135,5.7,0.9,35,1.5,0.6,47,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,14.7,1
53,City,Gwalior,11.02,48,4.4,1.9,65,5.9,1.2,22,2,2.7,133,12.1,0.9,97,8.8,1.8,13,1.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,379,34.4,1.1
54,City,Hyderabad,77.49,59,0.8,2.3,39,0.5,0.7,37,0.5,4.5,1355,17.5,8.8,157,2,2.9,93,1.2,4.7,0,0,0,0,0,0,96,1.2,7.8,0,0,0,24,0.3,2.8,1860,24,5.5
55,City,Indore,21.67,91,4.2,3.5,47,2.2,0.9,21,1,2.6,306,14.1,2,229,10.6,4.2,49,2.3,2.5,3,0.1,50,0,0,0,7,0.3,0.6,0,0,0,0,0,0,753,34.7,2.2
56,City,Jabalpur,12.68,64,5,2.5,17,1.3,0.3,26,2.1,3.2,129,10.2,0.8,171,13.5,3.1,27,2.1,1.4,2,0.2,33.3,0,0,0,0,0,0,0,0,0,4,0.3,0.5,440,34.7,1.3
57,City,Jaipur,30.73,92,3,3.6,226,7.4,4.3,39,1.3,4.8,936,30.5,6.1,125,4.1,2.3,0,0,0,0,0,0,0,0,0,30,1,2.4,42,1.4,56,2,0.1,0.2,1492,48.6,4.4
58,City,Jamshedpur,13.37,18,1.3,0.7,40,3,0.8,12,0.9,1.5,61,4.6,0.4,18,1.3,0.3,0,0,0,0,0,0,0,0,0,10,0.7,0.8,0,0,0,40,3,4.7,199,14.9,0.6
59,City,Jodhpur,11.38,33,2.9,1.3,45,4,0.9,13,1.1,1.6,338,29.7,2.2,57,5,1,1,0.1,0.1,0,0,0,0,0,0,8,0.7,0.6,26,2.3,34.7,1,0.1,0.1,522,45.9,1.5
60,City,Kannur,16.43,12,0.7,0.5,2,0.1,0,0,0,0,107,6.5,0.7,43,2.6,0.8,8,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,10.5,0.5
61,City,Kanpur,29.2,71,2.4,2.8,303,10.4,5.7,69,2.4,8.4,284,9.7,1.8,140,4.8,2.5,2,0.1,0.1,0,0,0,0,0,0,7,0.2,0.6,0,0,0,19,0.7,2.2,895,30.7,2.6
62,City,Kochi,21.18,30,1.4,1.2,10,0.5,0.2,0,0,0,136,6.4,0.9,105,5,1.9,32,1.5,1.6,0,0,0,0,0,0,34,1.6,2.8,1,0,1.3,0,0,0,348,16.4,1
63,City,Kolkata,141.13,46,0.3,1.8,116,0.8,2.2,11,0.1,1.3,557,3.9,3.6,254,1.8,4.6,144,1,7.3,0,0,0,0,0,0,33,0.2,2.7,0,0,0,0,0,0,1161,8.2,3.4
64,City,Kollam,11.1,50,4.5,1.9,20,1.8,0.4,1,0.1,0.1,319,28.7,2.1,192,17.3,3.5,19,1.7,1,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,602,54.2,1.8
65,City,Kota,10.01,24,2.4,0.9,74,7.4,1.4,5,0.5,0.6,413,41.3,2.7,58,5.8,1.1,0,0,0,0,0,0,0,0,0,1,0.1,0.1,1,0.1,1.3,0,0,0,576,57.5,1.7
66,City,Kozhikode,20.31,14,0.7,0.5,10,0.5,0.2,0,0,0,171,8.4,1.1,124,6.1,2.3,100,4.9,5.1,0,0,0,0,0,0,25,1.2,2,0,0,0,0,0,0,444,21.9,1.3
67,City,Lucknow,29.01,38,1.3,1.5,210,7.2,4,32,1.1,3.9,454,15.6,2.9,104,3.6,1.9,0,0,0,0,0,0,0,0,0,3,0.1,0.2,0,0,0,1,0,0.1,842,29,2.5
68,City,Ludhiana,16.14,42,2.6,1.6,64,4,1.2,13,0.8,1.6,102,6.3,0.7,22,1.4,0.4,10,0.6,0.5,0,0,0,0,0,0,22,1.4,1.8,0,0,0,0,0,0,275,17,0.8
69,City,Madurai,14.62,7,0.5,0.3,18,1.2,0.3,5,0.3,0.6,71,4.9,0.5,22,1.5,0.4,4,0.3,0.2,0,0,0,0,0,0,9,0.6,0.7,0,0,0,0,0,0,136,9.3,0.4
70,City,Malappuram,16.99,16,0.9,0.6,4,0.2,0.1,0,0,0,126,7.4,0.8,37,2.2,0.7,2,0.1,0.1,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,186,10.9,0.6
71,City,Meerut,14.25,23,1.6,0.9,139,9.8,2.6,18,1.3,2.2,99,6.9,0.6,47,3.3,0.9,0,0,0,0,0,0,0,0,0,5,0.4,0.4,0,0,0,0,0,0,331,23.2,1
72,City,Mumbai,184.14,221,1.2,8.6,166,0.9,3.1,14,0.1,1.7,393,2.1,2.5,553,3,10.1,162,0.9,8.2,0,0,0,0,0,0,191,1,15.5,0,0,0,0,0,0,1700,9.2,5
73,City,Nagpur,24.98,45,1.8,1.7,24,1,0.5,4,0.2,0.5,174,7,1.1,68,2.7,1.2,53,2.1,2.7,0,0,0,0,0,0,13,0.5,1.1,0,0,0,6,0.2,0.7,387,15.5,1.1
74,City,Nasik,15.63,25,1.6,1,11,0.7,0.2,5,0.3,0.6,115,7.4,0.7,37,2.4,0.7,10,0.6,0.5,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,204,13.1,0.6
75,City,Patna,20.47,27,1.3,1,125,6.1,2.4,45,2.2,5.5,199,9.7,1.3,1,0,0,1,0,0.1,0,0,0,0,0,0,12,0.6,1,0,0,0,102,5,11.9,512,25,1.5
76,City,Pune,50.5,79,1.6,3.1,72,1.4,1.4,8,0.2,1,251,5,1.6,118,2.3,2.1,80,1.6,4.1,0,0,0,0,0,0,71,1.4,5.8,0,0,0,0,0,0,679,13.4,2
77,City,Raipur,11.23,24,2.1,0.9,9,0.8,0.2,4,0.4,0.5,59,5.3,0.4,195,17.4,3.5,27,2.4,1.4,0,0,0,0,0,0,9,0.8,0.7,0,0,0,5,0.4,0.6,332,29.6,1
