SI.No,States / UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
12,Uttar Pradesh,Ballia,42,65,25,10,5,2,3,11,0,20,142,270,20,250,112,28,27,2,35,257,13,19,13,31,0,652,1779
13,Uttar Pradesh,Balrampur,34,23,12,4,20,20,0,2,1,6,65,88,10,78,30,26,36,0,21,120,13,20,8,31,0,232,792
14,Uttar Pradesh,Banda,67,47,10,14,11,8,3,3,0,9,61,86,17,69,51,20,46,0,16,50,26,35,7,16,0,680,1255
15,Uttar Pradesh,Barabanki,81,110,13,40,58,49,9,21,1,63,192,422,24,398,109,74,22,0,16,329,39,44,24,172,0,1014,2844
16,Uttar Pradesh,Bareily,271,302,38,69,171,117,54,43,1,165,247,974,125,849,131,138,178,3,20,197,42,116,49,357,0,1886,5398
17,Uttar Pradesh,Basti,41,28,14,8,22,18,4,3,2,24,79,151,14,137,62,28,48,0,15,181,8,11,19,28,0,509,1281
18,Uttar Pradesh,Bijnor,137,104,21,42,65,51,14,15,0,71,113,300,30,270,56,35,48,0,11,19,43,51,28,103,0,754,2016
19,Uttar Pradesh,Bulandshahr,279,268,16,48,87,57,30,15,1,117,162,539,105,434,121,56,52,1,24,46,47,43,49,106,0,1127,3204
20,Uttar Pradesh,Chamoli,15,5,1,1,7,6,1,0,0,0,16,32,2,30,13,8,3,0,2,20,4,8,1,3,0,41,180
21,Uttar Pradesh,Champawat,4,3,1,0,3,3,0,2,0,2,6,16,1,15,4,3,8,0,1,10,3,1,1,6,0,47,121
22,Uttar Pradesh,Chandoli,26,36,11,2,4,1,3,2,0,16,45,86,11,75,28,24,30,0,0,159,7,11,3,19,0,189,698
23,Uttar Pradesh,Chitrakoot Dham,25,6,8,6,9,3,6,1,0,5,22,35,1,34,12,4,8,0,3,61,1,18,6,5,0,196,431
24,Uttar Pradesh,Dehradun,34,41,4,16,42,38,4,15,0,37,140,289,81,208,74,31,107,2,1,63,5,19,25,54,0,531,1530
25,Uttar Pradesh,Deoria,66,87,18,12,32,25,7,9,1,41,203,258,27,231,142,30,50,1,18,238,23,19,14,23,0,967,2252
26,Uttar Pradesh,Etah,235,274,22,46,131,49,82,49,2,71,163,316,194,122,182,62,103,5,28,363,69,47,7,103,0,1154,3432
27,Uttar Pradesh,Etawah,61,93,10,15,78,28,50,18,1,35,65,212,31,181,82,40,56,6,9,280,36,27,25,38,0,869,2056
28,Uttar Pradesh,Faizabad,86,87,19,22,47,41,6,22,2,53,128,338,44,294,99,120,7,1,35,255,14,17,53,47,0,1071,2523
29,Uttar Pradesh,Fathegarh,116,114,16,12,70,32,38,7,0,39,92,160,12,148,77,30,70,0,22,217,45,21,24,141,0,601,1874
30,Uttar Pradesh,Fatehpur,153,74,29,30,47,31,16,14,0,61,135,179,10,169,48,15,52,1,21,376,50,45,11,56,0,668,2065
31,Uttar Pradesh,Firozabad,122,157,26,15,83,34,49,12,0,51,115,292,66,226,95,49,50,5,24,306,352,23,23,84,0,840,2424
32,Uttar Pradesh,G.R.P.,45,19,7,8,15,5,10,12,0,61,5,3288,72,3216,8,46,137,2,0,5,0,11,34,0,0,622,4325
33,Uttar Pradesh,Gautambudh Nagar,67,106,10,19,30,26,4,3,1,36,80,669,237,432,59,28,101,2,6,28,14,28,29,19,0,649,1984
34,Uttar Pradesh,Ghaziabad,258,344,23,31,118,85,33,12,4,121,293,1394,580,814,102,127,173,5,101,88,40,39,96,109,0,1550,5028
35,Uttar Pradesh,Ghazipur,72,86,17,11,17,13,4,2,0,17,90,101,12,89,51,2,4,6,11,130,29,9,8,15,0,388,1066
36,Uttar Pradesh,Gonda,70,82,17,16,38,30,8,27,3,44,161,281,18,263,86,31,124,0,6,285,36,32,4,66,0,911,2320
37,Uttar Pradesh,Gorakhpur,118,70,33,14,62,48,14,12,6,64,236,397,94,303,102,73,111,2,2,275,8,22,23,24,0,1214,2868
38,Uttar Pradesh,Hamirpur,61,26,6,12,11,7,4,1,0,16,42,91,3,88,7,12,22,0,0,85,14,25,4,4,0,344,783
39,Uttar Pradesh,Hardoi,137,128,38,32,59,42,17,8,3,33,116,275,11,264,47,34,27,0,31,445,47,64,22,58,0,941,2545
40,Uttar Pradesh,Haridwar,92,59,9,10,38,18,20,1,0,38,73,263,75,188,66,27,46,2,4,161,8,25,18,57,0,397,1394
41,Uttar Pradesh,Hathras,76,104,11,9,45,23,22,23,0,76,71,221,22,199,121,44,29,3,6,203,22,40,8,58,0,813,1983
42,Uttar Pradesh,J.P.Nagar,99,77,9,17,46,29,17,9,1,42,68,204,18,186,65,28,40,2,8,53,15,27,6,74,0,682,1572
43,Uttar Pradesh,Jalaun,75,54,7,8,42,14,28,7,2,32,88,168,21,147,42,25,28,1,17,66,25,33,11,30,0,704,1465
44,Uttar Pradesh,Jaunpur,59,84,22,10,30,20,10,3,1,34,112,151,22,129,75,14,35,2,27,280,27,9,19,46,0,728,1768
45,Uttar Pradesh,Jhansi,71,37,22,15,24,9,15,2,0,31,75,177,43,134,41,14,128,0,6,83,25,24,11,22,0,830,1638
46,Uttar Pradesh,Kannauj,89,66,13,11,62,18,44,12,1,8,59,109,7,102,46,25,35,1,12,159,22,14,6,51,0,570,1371
47,Uttar Pradesh,Kanpur Dehat,60,74,13,17,29,18,11,17,1,44,72,154,4,150,97,31,32,1,15,305,38,32,19,74,0,630,1755
48,Uttar Pradesh,Kanpur Nagar,208,175,43,34,190,147,43,24,6,125,329,1204,415,789,202,218,316,45,29,524,75,58,238,287,0,2480,6810
49,Uttar Pradesh,Kaushambi,76,39,9,20,22,16,6,12,0,26,99,121,3,118,36,22,24,0,14,113,17,35,5,38,0,483,1211
50,Uttar Pradesh,khiri,152,150,45,42,82,54,28,9,15,88,149,389,48,341,88,49,45,2,18,410,54,62,18,101,0,813,2781
51,Uttar Pradesh,Kushi Nagar,63,71,14,6,21,15,6,8,2,20,102,134,14,120,83,26,45,1,17,205,22,20,5,21,0,577,1463
52,Uttar Pradesh,Lalitpur,25,17,9,14,4,2,2,4,0,12,32,66,5,61,34,12,20,0,6,28,5,16,9,31,0,326,670
53,Uttar Pradesh,Lucknow,169,177,38,47,141,119,22,19,1,138,697,2278,521,1757,283,259,450,9,21,108,47,61,236,243,0,3130,8552
54,Uttar Pradesh,Maharajganj,49,37,10,8,13,8,5,3,0,21,45,77,7,70,35,15,21,4,2,127,17,13,5,10,0,363,875
55,Uttar Pradesh,Mahoba,42,22,3,2,3,2,1,2,0,13,40,67,9,58,20,4,12,0,0,29,11,14,5,0,0,270,559
56,Uttar Pradesh,Mainpuri,125,165,15,10,52,28,24,28,0,71,91,195,32,163,123,27,48,4,34,304,54,31,14,23,0,773,2187
57,Uttar Pradesh,Mathura,132,133,18,16,70,35,35,24,1,113,110,377,134,243,128,61,95,1,6,108,24,38,36,73,0,1038,2602
58,Uttar Pradesh,Mau,41,60,11,9,24,22,2,34,0,32,113,152,8,144,108,36,42,1,14,129,14,15,13,29,0,375,1219
59,Uttar Pradesh,Meerut,276,319,12,31,133,89,44,1,8,230,312,1162,346,816,205,122,160,4,24,56,36,45,231,228,0,1583,5211
60,Uttar Pradesh,Mirzapur,54,42,21,8,10,7,3,3,0,18,53,122,25,97,33,13,14,1,5,124,15,16,10,14,0,360,936
61,Uttar Pradesh,Moradabad,200,163,27,50,119,95,24,26,0,89,180,668,123,545,101,47,115,0,28,169,40,70,107,179,0,1126,3504
62,Uttar Pradesh,Muzaffaranagar,329,204,22,34,137,55,82,11,4,118,125,634,137,497,134,68,50,6,5,11,30,47,48,166,0,1358,3541
63,Uttar Pradesh,Nainital,34,45,7,8,21,18,3,6,0,20,100,238,43,195,34,24,39,2,3,105,3,16,12,27,0,317,1061
64,Uttar Pradesh,Pauri Garhwal,11,18,2,5,4,2,2,3,0,6,44,49,10,39,23,12,11,0,4,30,5,13,0,11,0,94,345
65,Uttar Pradesh,Pilibhit,88,74,7,40,68,45,23,14,1,52,69,209,20,189,46,36,66,1,5,30,24,47,19,105,0,664,1665
66,Uttar Pradesh,Pathoragarh,12,3,9,0,3,3,0,0,0,2,25,19,1,18,20,5,6,0,2,11,4,7,2,4,0,105,239
67,Uttar Pradesh,Pratapgarh,92,109,12,32,37,29,8,8,1,50,171,163,18,145,114,20,59,1,29,507,32,24,19,52,0,622,2154
68,Uttar Pradesh,Raibareilly,64,55,24,39,41,41,0,6,1,35,172,300,40,260,51,39,57,0,7,323,24,52,15,48,0,894,2247
69,Uttar Pradesh,Rampur,93,106,31,11,45,25,20,19,0,64,111,280,34,246,37,30,44,0,7,156,20,25,4,54,0,530,1667
70,Uttar Pradesh,Rudra Prayag,6,5,0,0,3,3,0,0,0,1,6,12,1,11,6,0,0,0,0,5,5,1,0,0,0,13,63
71,Uttar Pradesh,Saharanpur,148,152,9,24,74,35,39,14,0,60,126,413,88,325,105,62,95,3,4,88,21,28,52,134,0,1005,2617
72,Uttar Pradesh,sant Kabirnagar,27,23,4,5,6,6,0,2,1,9,24,54,4,50,25,8,17,1,1,123,3,8,7,10,0,227,585
73,Uttar Pradesh,Sant Ravidasnagar,23,23,8,2,9,8,1,4,0,21,64,95,24,71,25,7,23,0,6,79,16,5,1,12,0,184,607
74,Uttar Pradesh,Shahjahanpur,197,156,45,43,96,56,40,9,0,65,135,446,30,416,49,54,64,1,20,163,50,51,17,78,0,1128,2867
75,Uttar Pradesh,Shrawasti,22,20,6,5,17,15,2,4,1,14,69,106,0,106,28,4,16,0,5,108,8,15,2,13,0,212,675
76,Uttar Pradesh,Sidharthnagar,20,18,11,4,23,23,0,5,0,11,51,95,5,90,27,18,43,3,16,155,6,14,4,21,0,275,820
77,Uttar Pradesh,Sitapur,115,96,34,49,88,67,21,13,0,72,228,517,22,495,93,66,75,0,23,293,65,55,12,52,0,1442,3388
78,Uttar Pradesh,Sonbhadra,26,14,21,7,3,2,1,2,1,7,46,100,10,90,14,5,15,1,6,67,10,10,7,3,0,225,590
79,Uttar Pradesh,Sultanpur,88,141,22,11,52,47,5,12,5,50,191,349,19,330,81,43,69,1,18,391,23,27,13,62,0,992,2641
80,Uttar Pradesh,Tehri Garhwal,12,12,2,1,3,3,0,1,0,2,27,32,2,30,5,8,8,0,2,51,1,5,2,10,0,99,283
81,Uttar Pradesh,Udhamsingh Nagar,67,42,9,18,39,33,6,8,0,52,88,282,51,231,56,28,46,2,5,118,10,17,18,1,0,581,1487
82,Uttar Pradesh,Unnao,169,179,15,33,46,38,8,12,2,59,89,300,20,280,121,47,43,1,5,396,49,79,13,85,0,1125,2868
83,Uttar Pradesh,Uttarkashi,10,1,1,2,0,0,0,0,0,6,11,32,1,31,12,9,2,0,3,15,0,6,2,8,0,43,163
84,Uttar Pradesh,Varanasi,91,81,13,17,44,24,20,2,0,95,173,542,202,340,82,75,88,1,18,163,27,10,54,67,0,851,2494
85,Uttar Pradesh,Total,7850,7849,1354,1593,4158,2746,1412,927,91,4197,10081,29348,5210,24138,6792,3495,5213,175,1171,14051,2088,2481,2255,5372,0,63102,173643
1,West Bengal,24 Parganas North,218,41,56,94,92,58,34,41,68,82,49,1966,543,1423,502,69,49,4,0,531,23,105,0,492,0,2345,6827
2,West Bengal,24 Parganas South,227,4,98,87,100,99,1,30,107,61,33,2120,286,1834,474,9,9,0,8,0,33,106,0,613,0,3032,7151
3,West Bengal,Bankura,49,33,10,31,11,10,1,9,9,29,5,228,7,221,165,0,13,0,11,73,22,21,0,86,0,503,1308
4,West Bengal,Birbhum,64,32,11,34,35,26,9,7,17,20,20,332,19,313,362,13,10,0,8,36,6,24,1,165,0,850,2047
5,West Bengal,Burdwan,195,17,46,55,59,59,0,53,31,83,56,1085,104,981,324,6,65,1,10,121,41,123,1,287,0,2593,5252
6,West Bengal,Calcutta,72,148,11,24,134,93,41,24,72,157,131,4490,1145,3345,324,325,787,28,0,1183,5,199,28,159,0,3145,11447
7,West Bengal,Coochbehar,34,29,18,42,38,34,4,22,0,17,14,135,0,135,63,5,10,0,0,83,2,49,0,138,0,561,1260
8,West Bengal,Dakshin Dinajpur,38,1,27,22,22,19,3,1,2,18,2,255,4,251,57,2,3,1,1,39,0,49,0,81,0,489,1110
9,West Bengal,Darjeeling,67,0,31,17,16,16,0,2,8,31,12,516,99,417,68,0,0,0,4,279,3,15,0,35,0,630,1734
10,West Bengal,Hooghly,99,26,33,39,51,49,2,16,45,37,7,845,41,804,470,20,31,0,3,401,12,69,0,359,0,1102,3665
11,West Bengal,Howrah,66,11,25,17,41,28,13,13,37,50,14,781,126,655,123,30,52,2,2,345,8,32,0,128,0,1091,2868
12,West Bengal,Howrah G.R.P.,10,0,0,0,1,0,1,21,21,32,0,1035,0,1035,19,0,0,0,0,3,1,6,0,0,0,286,1435
13,West Bengal,Jalpaiguri,150,29,45,66,42,28,14,25,4,50,33,623,39,584,103,19,8,2,6,197,5,47,0,124,0,956,2534
14,West Bengal,Malda,64,27,29,42,24,24,0,11,6,22,16,320,17,303,113,7,16,4,0,121,1,65,0,56,0,928,1872
15,West Bengal,Midnapur,138,28,53,66,90,90,0,32,9,107,83,843,59,784,843,50,36,3,24,52,63,72,3,440,0,2355,5390
16,West Bengal,Murshidabad,190,23,60,57,44,44,0,20,0,48,8,603,27,576,140,10,21,1,0,159,11,56,0,195,0,1454,3100
17,West Bengal,Nadia,72,0,70,63,77,77,0,6,17,10,20,542,0,542,272,0,0,0,2,295,16,75,0,268,0,1561,3366
18,West Bengal,Purulia,74,0,8,22,12,12,0,15,6,25,18,387,2,385,92,4,23,0,9,183,1,41,0,73,0,482,1475
19,West Bengal,Sealdah G.R.P,20,7,2,0,5,1,0,11,15,22,0,549,0,549,17,2,4,0,0,12,0,4,0,0,0,52,722
20,West Bengal,Siliguri G.R.P,2,0,0,0,0,0,0,5,0,3,0,106,0,106,5,0,1,0,0,0,0,2,0,0,0,27,151
21,West Bengal,Uttar Dinajpur,53,60,22,41,51,37,14,4,1,9,12,396,15,381,65,15,7,1,14,81,4,40,0,78,0,857,1811
22,West Bengal,Total,1902,516,655,819,645,804,141,368,475,913,533,18157,2533,15624,4601,586,1145,47,102,4194,257,1200,33,3777,0,25299,66525
1,A & N Island,Andman,8,3,0,6,4,2,2,2,0,1,75,49,1,48,32,6,8,0,8,83,0,12,2,7,0,271,577
2,A & N Island,Nicobar,1,1,0,0,0,0,0,0,0,0,4,2,0,2,0,1,0,0,1,5,0,1,0,1,0,9,26
3,A & N Island,Total,9,4,0,6,4,2,2,2,0,1,79,51,1,50,32,7,8,0,9,88,0,13,2,8,0,280,603
1,Chandigarh,Chandigarh,17,18,9,16,48,36,12,1,1,6,234,1035,414,621,73,37,172,1,10,102,7,26,18,42,0,862,2735
2,Chandigarh,Total,17,18,9,16,48,36,12,1,1,6,234,1035,414,621,73,37,172,1,10,102,7,26,18,42,0,862,2735
1,D & N Haveli,D & N Haveli,16,2,0,3,2,0,2,1,0,8,42,64,12,52,37,3,3,0,1,41,2,8,0,5,0,175,413
2,D & N Haveli,Total,16,2,0,3,2,0,2,1,0,8,42,64,12,52,37,3,3,0,1,41,2,8,0,5,0,175,413
1,Daman & Diu,Daman,4,1,0,4,3,2,1,0,0,2,35,36,13,23,20,8,10,0,1,21,0,0,0,2,0,58,205
2,Daman & Diu,Diu,1,4,0,0,0,0,0,0,0,0,7,2,0,2,3,1,1,0,1,3,0,0,0,3,0,16,42
3,Daman & Diu,Total,5,5,0,4,3,2,1,0,0,2,42,38,13,25,23,9,11,0,2,24,0,0,0,5,0,74,247
1,Delhi,Central,35,36,6,33,65,41,24,2,1,46,168,1616,525,1091,9,47,132,8,4,182,4,47,10,6,0,1394,3851
2,Delhi,East,61,45,5,25,201,139,62,6,6,62,210,2042,662,1380,14,35,77,3,5,262,9,66,6,5,0,1316,4461
3,Delhi,G.R.P. (Rly.),14,5,1,2,11,2,9,0,0,21,3,2142,19,2123,4,12,19,5,0,10,0,3,0,0,0,280,2532
4,Delhi,I.G.I.Airport,2,0,0,1,1,0,1,0,0,6,4,52,10,42,0,8,423,1,0,7,2,5,0,0,0,68,580
5,Delhi,New Delhi,6,6,1,4,27,17,10,0,0,27,101,1705,460,1245,10,18,223,14,1,42,0,19,20,2,0,894,3120
6,Delhi,North,37,41,15,38,94,59,35,3,5,60,172,1575,476,1099,15,127,152,4,5,187,8,37,8,5,0,1871,4459
7,Delhi,North East,101,109,3,45,192,146,46,6,9,85,292,1533,528,1005,18,23,51,5,7,408,18,45,22,15,0,1528,4515
8,Delhi,North West,156,97,14,75,275,194,81,16,7,123,663,3728,1394,2334,20,59,155,6,7,402,20,114,8,16,0,3865,9826
9,Delhi,S.T.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28
10,Delhi,South,83,89,16,72,221,168,53,16,1,138,741,5178,2000,3178,44,91,284,8,16,301,23,119,35,22,0,3651,11149
11,Delhi,South West,60,44,6,43,125,90,35,7,1,50,416,2055,790,1265,43,53,131,8,6,139,17,70,15,11,0,2504,5804
12,Delhi,West,94,107,14,64,163,130,33,7,6,108,659,2797,1214,1583,22,39,194,7,6,261,21,63,22,6,0,3716,8376
13,Delhi,Total,649,579,81,402,1375,986,389,63,36,726,3429,24423,8078,16345,199,512,1869,69,57,2201,122,588,146,88,0,21087,58701
1,Lakshadeep,Lakshadeep,0,0,0,0,0,0,0,0,0,0,3,11,2,9,3,3,0,0,1,2,0,0,0,0,0,8,31
2,Lakshadeep,Total,0,0,0,0,0,0,0,0,0,0,3,11,2,9,3,3,0,0,1,2,0,0,0,0,0,8,31
1,Pondicherry,Pondicherry,21,18,5,6,7,2,5,5,0,9,92,456,199,257,72,3,21,4,14,476,4,36,19,6,0,2088,3362
2,Pondicherry,Total,21,18,5,6,7,2,5,5,0,9,92,456,199,257,72,3,21,4,14,476,4,36,19,6,0,2088,3362
Total (All-India),Total (All-India),Total (All-India),37170,29628,3912,15468,23236,15962,7274,7079,1501,21332,111296,271907,59685,212154,80835,15454,41403,1347,11218,236313,6699,32311,8858,43823,1,763835,1764629
